date,area_id,rainfall_mm,population,water_consumption_m3,area_water_usage_m3,residential_water_demand_m3
2012-10-01,DNH_total,71.401,350263,1238997.702,1483781.881,1199610.717
2012-11-01,DNH_total,23.922,350941,1192423.203,1376085.985,1163546.775
2012-12-01,DNH_total,24.657,350823,1269282.461,1536246.6,1220428.268
2013-01-01,DNH_total,62.36,351417,1272535.029,1578514.738,1247413.028
2013-02-01,DNH_total,63.097,351825,1199953.693,1408357.108,1178596.754
2013-03-01,DNH_total,90.16,352286,1288548.974,1443953.469,1238922.015
2013-04-01,DNH_total,149.62,352010,1260505.33,1513779.09,1231711.412
2013-05-01,DNH_total,239.232,352603,1253663.15,1476127.109,1257430.318
2013-06-01,DNH_total,770.39,353250,1032314.658,1281372.197,999084.543
2013-07-01,DNH_total,879.884,353192,983730.598,1166434.781,946350.837
2013-08-01,DNH_total,539.725,353698,996320.964,1192464.016,989105.611
2013-09-01,DNH_total,182.161,353683,1014833.092,1212333.202,998892.582
2013-10-01,DNH_total,92.756,354603,1219788.853,1411089.311,1214936.626
2013-11-01,DNH_total,30.42,354533,1229470.636,1375875.132,1246319.322
2013-12-01,DNH_total,30.592,354957,1280789.198,1543326.026,1268278.514
2014-01-01,DNH_total,46.529,355224,1265118.178,1490413.845,1264881.38
2014-02-01,DNH_total,47.906,355919,1246026.134,1472275.818,1184628.631
2014-03-01,DNH_total,71.854,355720,1244894.207,1529554.865,1230060.774
2014-04-01,DNH_total,120.807,356400,1237118.437,1410502.867,1248841.059
2014-05-01,DNH_total,185.111,356683,1247029.741,1522086.865,1236110.728
2014-06-01,DNH_total,599.338,357106,1019032.553,1238682.455,1005508.494
2014-07-01,DNH_total,662.528,357106,968563.695,1152172.76,953465.156
2014-08-01,DNH_total,435.414,357403,984087.709,1116436.268,980959.999
2014-09-01,DNH_total,143.468,358314,1070765.27,1224569.511,1048597.296
2014-10-01,DNH_total,72.1,358364,1263689.665,1456907.387,1231088.554
2014-11-01,DNH_total,23.591,358782,1204657.601,1440531.671,1223342.263
2014-12-01,DNH_total,24.145,358715,1303383.197,1607986.066,1269359.151
2015-01-01,DNH_total,71.349,359555,1286228.267,1540905.676,1237752.454
2015-02-01,DNH_total,67.187,359641,1149095.741,1445027.805,1160175.697
2015-03-01,DNH_total,106.116,359725,1253904.229,1457706.953,1222388.748
2015-04-01,DNH_total,180.919,360261,1262715.999,1498988.724,1247275.51
2015-05-01,DNH_total,283.441,360857,1239830.274,1431376.552,1236376.428
2015-06-01,DNH_total,889.577,361010,1047982.895,1228757.626,1015261.089
2015-07-01,DNH_total,965.312,361090,959962.926,1162763.816,938253.796
2015-08-01,DNH_total,619.682,361681,978832.754,1179232.346,962979.522
2015-09-01,DNH_total,209.225,361925,1091898.656,1289767.991,1079582.825
2015-10-01,DNH_total,106.07,362410,1188689.449,1451705.293,1191414.903
2015-11-01,DNH_total,35.501,362666,1283223.994,1508471.327,1235015.703
2015-12-01,DNH_total,35.148,363160,1310960.155,1461222.824,1317569.46
2016-01-01,DNH_total,45.873,363341,1393856.509,1557467.061,1344589.644
2016-02-01,DNH_total,44.383,363758,1272489.889,1406575.138,1267600.04
2016-03-01,DNH_total,67.699,363834,1291215.112,1542242.399,1279307.76
2016-04-01,DNH_total,109.164,364449,1214084.933,1372802.985,1246983.764
2016-05-01,DNH_total,178.474,364655,1214316.629,1488495.1,1193491.473
2016-06-01,DNH_total,573.58,364969,1019813.27,1118942.474,1026927.915
2016-07-01,DNH_total,637.034,365201,1028806.622,1175468.448,1009633.526
2016-08-01,DNH_total,416.955,365504,1078689.804,1296697.841,1051141.45
2016-09-01,DNH_total,133.106,366109,1082071.269,1322569.499,1084801.28
2016-10-01,DNH_total,67.626,366642,1253535.777,1423915.918,1260349.137
2016-11-01,DNH_total,22.652,366643,1243652.031,1446811.489,1254213.429
2016-12-01,DNH_total,22.672,366966,1279296.807,1528455.212,1284748.562
2017-01-01,DNH_total,42.294,367418,1372563.574,1598220.749,1331494.56
2017-02-01,DNH_total,42.323,367728,1224577.613,1474754.688,1218107.299
2017-03-01,DNH_total,61.789,368076,1340465.282,1572151.695,1298653.338
2017-04-01,DNH_total,108.287,368385,1245198.37,1446269.334,1232187.367
2017-05-01,DNH_total,169.436,368871,1354969.202,1535182.409,1305928.188
2017-06-01,DNH_total,536.105,368835,1073648.952,1310743.711,1078261.504
2017-07-01,DNH_total,605.832,369456,1064957.108,1249333.308,1050082.218
2017-08-01,DNH_total,394.484,369677,1069864.258,1275816.942,1078991.236
2017-09-01,DNH_total,128.783,370353,1119075.119,1314915.636,1118132.649
2017-10-01,DNH_total,61.265,370180,1302277.221,1502057.511,1281767.366
2017-11-01,DNH_total,20.751,370716,1325622.42,1559841.094,1332404.669
2017-12-01,DNH_total,20.596,371031,1398079.219,1592888.274,1346955.119
2018-01-01,DNH_total,55.06,371077,1338629.45,1554319.171,1318156.449
2018-02-01,DNH_total,55.136,372120,1344653.718,1582536.416,1269173.18
2018-03-01,DNH_total,84.69,371918,1310362.662,1584408.284,1306010.349
2018-04-01,DNH_total,140.832,372437,1291429.586,1538907.69,1280462.777
2018-05-01,DNH_total,221.465,372653,1288847.366,1532241.409,1298581.47
2018-06-01,DNH_total,673.166,373102,1096862.202,1266237.501,1085778.455
2018-07-01,DNH_total,732.666,373217,1004775.283,1174605.335,969945.845
2018-08-01,DNH_total,475.758,373550,989171.473,1181996.007,959548.678
2018-09-01,DNH_total,165.447,374021,1079342.422,1303529.1,1088521.871
2018-10-01,DNH_total,84.101,374721,1257539.918,1481690.763,1237332.851
2018-11-01,DNH_total,26.822,374793,1306632.708,1570882.028,1299863.527
2018-12-01,DNH_total,28.389,375054,1353644.542,1580009.787,1310185.951
2019-01-01,DNH_total,60.967,375471,1360827.983,1539682.208,1339856.169
2019-02-01,DNH_total,64.737,375775,1306668.185,1545237.399,1272287.26
2019-03-01,DNH_total,94.406,376031,1307151.307,1570099.117,1281934.047
2019-04-01,DNH_total,158.044,376512,1317979.044,1511825.182,1301093.921
2019-05-01,DNH_total,253.526,376899,1379369.126,1593390.793,1330521.496
2019-06-01,DNH_total,773.258,377363,1085067.493,1304881.003,1090556.426
2019-07-01,DNH_total,864.037,377919,1078175.246,1244051.111,1051383.95
2019-08-01,DNH_total,571.397,377869,1027888.925,1228789.963,1025433.068
2019-09-01,DNH_total,185.431,378234,1093459.995,1253354.455,1053550.802
2019-10-01,DNH_total,95.429,378942,1209568.955,1447659.329,1196014.729
2019-11-01,DNH_total,31.887,378923,1347773.399,1662037.077,1308262.567
2019-12-01,DNH_total,30.645,379484,1370578.993,1575609.911,1344056.5
2020-01-01,DNH_total,68.688,379778,1394407.364,1694224.141,1336786.984
2020-02-01,DNH_total,67.287,380019,1301139.422,1464183.239,1277527.869
2020-03-01,DNH_total,106.785,380257,1323305.455,1600572.875,1313394.852
2020-04-01,DNH_total,170.829,380923,1325424.44,1544217.391,1275866.419
2020-05-01,DNH_total,269.585,381105,1384466.064,1608408.678,1317774.236
2020-06-01,DNH_total,825.067,381433,1077454.029,1309971.319,1049971.696
2020-07-01,DNH_total,949.274,381858,1023097.866,1277985.698,1026651.905
2020-08-01,DNH_total,595.443,382060,1069952.819,1196644.323,1043622.238
2020-09-01,DNH_total,201.211,382415,1085146.416,1286558.29,1077314.535
2020-10-01,DNH_total,102.696,382472,1280338.431,1556905.787,1283710.651
2020-11-01,DNH_total,32.698,382745,1321636.987,1490461.137,1277593.217
2020-12-01,DNH_total,33.967,383468,1356711.426,1585258.51,1328711.053
2021-01-01,DNH_total,59.431,384115,1397208.092,1753509.983,1407970.798
2021-02-01,DNH_total,61.296,384441,1370284.381,1579576.4,1342227.207
2021-03-01,DNH_total,95.37,384814,1359083.218,1644916.691,1367444.31
2021-04-01,DNH_total,156.134,385005,1372316.362,1622635.836,1314290.821
2021-05-01,DNH_total,244.624,385407,1283377.431,1534422.069,1278463.368
2021-06-01,DNH_total,756.682,385652,1142528.254,1342020.201,1086093.998
2021-07-01,DNH_total,866.678,385944,1035962.568,1244236.656,1008278.333
2021-08-01,DNH_total,553.61,386167,1065427.682,1221018.259,1059419.61
2021-09-01,DNH_total,182.336,387123,1111104.891,1276320.132,1123122.785
2021-10-01,DNH_total,90.442,387111,1404562.589,1665205.229,1362889.275
2021-11-01,DNH_total,31.072,387408,1346302.524,1481759.25,1322433.932
2021-12-01,DNH_total,30.629,387793,1387681.922,1671860.909,1367504.218
2022-01-01,DNH_total,55.183,387835,1436755.654,1698715.957,1373806.968
2022-02-01,DNH_total,57.235,388492,1256789.895,1401373.266,1258859.119
2022-03-01,DNH_total,82.234,388711,1387744.532,1607453.818,1371734.338
2022-04-01,DNH_total,145.684,389361,1359094.562,1547379.177,1359065.516
2022-05-01,DNH_total,224.658,389586,1311862.612,1551808.071,1327788.781
2022-06-01,DNH_total,705.014,390079,1159082.764,1285152.037,1135162.359
2022-07-01,DNH_total,796.831,390313,1074689.398,1274421.045,1062189.559
2022-08-01,DNH_total,515.141,390684,1142814.986,1333414.62,1128245.758
2022-09-01,DNH_total,169.972,390667,1129816.079,1378628.413,1123544.969
2022-10-01,DNH_total,84.977,391503,1331955.171,1653046.1,1293947.181
2022-11-01,DNH_total,28.376,391932,1239953.819,1437896.777,1246266.217
2022-12-01,DNH_total,28.202,392283,1330118.257,1664010.279,1348872.337
2023-01-01,DNH_total,55.649,392615,1386545.998,1668767.978,1357628.921
2023-02-01,DNH_total,55.939,393372,1286321.241,1507767.067,1276877.702
2023-03-01,DNH_total,83.332,393193,1397128.964,1638847.748,1352823.177
2023-04-01,DNH_total,133.09,393515,1361254.659,1591683.457,1342360.011
2023-05-01,DNH_total,223.712,394198,1341118.174,1594564.123,1359967.242
2023-06-01,DNH_total,693.989,394228,1131023.125,1366397.747,1144861.906
2023-07-01,DNH_total,801.004,394788,1140560.812,1263456.518,1141206.374
2023-08-01,DNH_total,502.06,395239,1090664.377,1256117.126,1112512.789
2023-09-01,DNH_total,169.471,395527,1118283.667,1305494.495,1155012.902
2023-10-01,DNH_total,82.087,395814,1369502.427,1626780.055,1354053.03
2023-11-01,DNH_total,27.912,395946,1320488.614,1547398.051,1343361.797
2023-12-01,DNH_total,27.679,396601,1326972.214,1541144.749,1318291.447
2024-01-01,DNH_total,49.898,396992,1374719.764,1630854.591,1366441.929
2024-02-01,DNH_total,46.087,397277,1348236.901,1665083.976,1334387.721
2024-03-01,DNH_total,76.671,397888,1474367.836,1632852.251,1425516.545
2024-04-01,DNH_total,121.348,398012,1345802.882,1505688.159,1347679.116
2024-05-01,DNH_total,192.33,398400,1378276.376,1627176.962,1365109.746
2024-06-01,DNH_total,627.594,398642,1116907.367,1273622.797,1114808.241
2024-07-01,DNH_total,668.337,398691,1155237.551,1410814.115,1112076.469
2024-08-01,DNH_total,446.518,399370,1168949.476,1352896.92,1164663.953
2024-09-01,DNH_total,145.764,399916,1202160.173,1459860.647,1166167.932
2024-10-01,DNH_total,71.58,400603,1341467.695,1585083.387,1338521.143
2024-11-01,DNH_total,25.056,400826,1476484.942,1702816.794,1391828.342
2024-12-01,DNH_total,23.789,400727,1505665.143,1830177.123,1493310.841
