date,area_id,rainfall_mm,temp_max_c,temp_min_c,humidity_max_pct,humidity_min_pct,wind_speed_kmh,solar_radiation_mj_m2,sunshine_hours,total_population,urban_population,total_households,reservoir_level_m,canal_discharge_cumecs,groundwater_level_m_bgl,residential_water_demand_m3
2011-08-01,DNH_total,256.12,33.57,20.29,93.3,64.4,7.67,265.82,120.8,895609,272809,180296,34.25,8.0,9.6,2561198.3
2011-09-01,DNH_total,344.96,25.71,17.67,92.9,63.9,4.56,287.54,126.6,898545,275044,180899,35.31,7.781,9.48,2454488.2
2011-10-01,DNH_total,76.44,29.81,23.67,85.8,52.7,8.59,438.01,204.7,901254,275790,181961,34.85,8.0,9.58,3164959.7
2011-11-01,DNH_total,67.98,34.87,21.25,79.7,52.3,6.35,400.02,206.0,906149,278397,182747,34.32,8.0,9.68,3478804.1
2011-12-01,DNH_total,79.26,35.77,24.17,80.1,55.0,5.85,436.45,201.1,904816,278877,182270,33.79,8.0,9.77,3779646.1
2012-01-01,DNH_total,201.92,34.47,21.78,82.4,55.5,7.39,307.63,213.1,907936,280934,182523,33.99,8.0,9.81,3199403.8
2012-02-01,DNH_total,123.69,35.99,23.57,79.4,54.8,8.21,426.2,205.8,911591,282924,182437,33.62,8.0,9.91,4108239.3
2012-03-01,DNH_total,72.26,34.59,21.26,76.5,55.7,7.3,320.8,225.6,914710,281587,183872,33.04,7.93,10.04,4130273.1
2012-04-01,DNH_total,121.52,31.33,22.6,81.2,58.5,8.62,444.11,220.1,916293,285169,183840,32.85,8.0,10.04,3491010.0
2012-05-01,DNH_total,150.31,30.13,16.61,82.0,52.6,7.76,404.75,216.2,914297,286461,183236,32.81,7.805,10.08,3517728.5
2012-06-01,DNH_total,638.98,25.39,16.4,92.7,64.0,6.15,319.56,150.5,920262,288163,184665,35.11,7.957,9.81,2781686.3
2012-07-01,DNH_total,400.57,26.66,16.62,97.3,66.2,7.31,304.98,112.5,919007,287703,185137,36.38,8.0,9.62,2128206.2
2012-08-01,DNH_total,596.58,27.35,17.72,91.8,68.0,6.34,328.7,139.1,923326,289210,185499,38.42,8.0,9.36,2204283.5
2012-09-01,DNH_total,603.89,30.47,18.54,93.3,64.7,8.7,308.44,133.9,922279,292278,184901,40.38,8.0,9.1,1930072.0
2012-10-01,DNH_total,105.2,30.51,18.36,80.4,56.7,7.29,499.73,208.4,928748,293935,186231,39.72,8.0,9.19,3011583.2
2012-11-01,DNH_total,155.67,33.59,17.99,83.2,54.1,3.6,498.51,209.4,926428,293295,185687,39.31,8.0,9.28,3077860.5
2012-12-01,DNH_total,85.97,36.34,24.51,80.6,52.2,5.29,420.06,185.2,929771,294748,185981,38.47,8.0,9.43,3582256.0
2013-01-01,DNH_total,80.61,34.68,24.28,81.5,55.5,5.73,372.62,213.6,930803,295336,186685,37.57,8.0,9.61,3822775.2
2013-02-01,DNH_total,78.19,36.51,22.93,79.8,56.7,3.78,335.64,188.4,931731,297236,187864,36.9,8.0,9.7,3426113.2
2013-03-01,DNH_total,39.85,33.43,22.4,82.2,57.7,6.14,501.27,207.6,935457,300207,187159,35.94,7.641,9.85,3962992.7
2013-04-01,DNH_total,56.62,30.22,19.28,81.6,58.4,4.44,441.22,194.5,936052,301151,187524,35.22,8.0,9.92,3664190.8
2013-05-01,DNH_total,74.51,31.86,16.79,78.9,52.9,5.72,443.41,201.8,940914,302210,188739,34.59,8.0,9.98,3599799.5
2013-06-01,DNH_total,284.02,27.85,13.58,97.1,64.3,7.0,308.44,146.6,940040,303955,188393,35.09,8.0,9.9,3143621.3
2013-07-01,DNH_total,328.62,28.14,16.32,97.2,63.3,7.67,290.54,138.7,942571,305193,188827,35.94,7.983,9.82,2669087.6
2013-08-01,DNH_total,188.2,26.3,15.62,94.4,68.9,7.72,249.58,146.5,945941,307509,189710,36.09,8.0,9.76,2446850.0
2013-09-01,DNH_total,235.35,31.24,17.32,97.1,62.7,7.53,405.31,135.5,946156,308884,189659,36.4,7.612,9.71,2582219.3
2013-10-01,DNH_total,87.47,31.89,19.66,78.4,55.9,7.63,458.27,199.8,948340,309746,190794,35.79,8.0,9.83,3539668.0
2013-11-01,DNH_total,72.11,33.38,23.87,76.3,54.3,8.05,323.23,188.4,948327,311152,189389,35.15,7.992,9.93,3388351.4
2013-12-01,DNH_total,74.62,29.54,22.38,84.8,55.9,3.66,445.73,202.7,953249,314319,191244,34.54,7.597,10.01,3610067.7
2014-01-01,DNH_total,53.9,36.69,25.34,78.6,56.8,4.67,356.03,224.6,955123,313723,191407,33.84,7.84,10.09,3752960.5
2014-02-01,DNH_total,90.78,34.58,26.37,80.3,55.5,4.59,394.06,224.0,956282,314686,191478,33.43,7.814,10.16,3573518.2
2014-03-01,DNH_total,73.21,35.27,20.92,82.3,50.2,4.76,311.26,200.5,959116,316434,191809,32.97,7.291,10.27,3718096.2
2014-04-01,DNH_total,77.41,31.68,20.41,78.0,56.4,6.83,440.73,215.0,958096,317998,192086,32.49,7.406,10.36,3939973.8
2014-05-01,DNH_total,95.6,29.39,16.49,77.9,52.5,6.5,412.25,199.4,963135,321025,192882,32.27,7.488,10.41,3371594.9
2014-06-01,DNH_total,261.85,30.01,16.22,93.7,66.1,7.1,228.31,137.3,965428,321958,193233,32.94,8.0,10.33,2847653.1
2014-07-01,DNH_total,267.04,25.09,18.67,97.5,64.5,5.47,186.23,139.1,965633,324680,193097,33.61,8.0,10.23,2678507.7
2014-08-01,DNH_total,238.73,32.53,14.18,93.3,65.5,7.57,238.19,151.5,967360,324343,193676,34.11,8.0,10.15,2730299.8
2014-09-01,DNH_total,305.97,29.15,16.96,96.6,65.5,6.33,314.22,117.7,967918,326009,193616,34.94,7.943,10.01,2546731.7
2014-10-01,DNH_total,86.02,33.08,21.53,80.9,51.6,6.35,352.02,213.7,970484,327749,194370,34.5,8.0,10.08,3346546.3
2014-11-01,DNH_total,60.31,31.43,23.43,80.5,53.8,6.05,389.13,222.8,972183,329715,194685,34.02,7.638,10.11,3195046.9
2014-12-01,DNH_total,57.89,34.64,26.19,77.9,50.2,5.39,576.0,224.4,976636,331858,195343,33.3,8.0,10.19,4073161.0
2015-01-01,DNH_total,53.9,35.62,21.77,81.2,56.0,9.08,460.37,193.4,978613,331109,195865,32.66,8.0,10.27,4045602.4
2015-02-01,DNH_total,81.65,36.69,20.0,80.3,54.2,8.5,405.78,226.8,981618,333618,195889,32.33,8.0,10.3,3609542.2
2015-03-01,DNH_total,56.12,34.35,24.43,79.4,51.6,5.49,360.27,208.2,982959,334808,195905,31.76,7.579,10.39,4086005.5
2015-04-01,DNH_total,67.21,32.96,18.95,74.9,56.6,4.02,372.05,211.1,981829,335880,195143,31.32,7.521,10.46,3818208.9
2015-05-01,DNH_total,96.86,30.77,18.84,80.8,54.7,7.88,455.73,216.5,987162,337470,197706,31.1,7.353,10.52,3880915.2
2015-06-01,DNH_total,266.48,30.12,19.53,94.1,64.2,8.63,280.91,138.6,987813,339672,197125,31.78,8.0,10.42,3259847.5
2015-07-01,DNH_total,174.85,23.36,14.07,93.2,64.6,5.65,280.95,146.5,991051,341692,197706,32.1,7.934,10.37,3004164.6
2015-08-01,DNH_total,333.94,26.71,17.65,94.6,66.3,5.65,322.36,135.3,994845,342050,198725,33.08,7.596,10.24,3116229.8
2015-09-01,DNH_total,298.09,26.87,19.37,94.3,63.0,3.78,341.02,134.5,996747,345242,199711,33.93,8.0,10.13,2615878.4
2015-10-01,DNH_total,55.97,32.57,21.53,77.7,52.8,6.82,420.31,212.8,995439,343509,198253,33.4,7.957,10.18,3423753.9
2015-11-01,DNH_total,60.34,35.61,18.76,75.5,57.0,3.21,352.88,220.2,1000334,347985,199626,32.92,7.897,10.26,3641488.4
2015-12-01,DNH_total,91.28,36.5,22.72,78.2,55.0,9.07,353.22,205.3,998824,348574,198756,32.55,7.607,10.34,3751549.4
2016-01-01,DNH_total,111.86,37.71,25.28,80.9,57.5,6.96,462.92,214.7,1005459,353931,200676,32.3,7.772,10.35,3990089.8
2016-02-01,DNH_total,49.28,32.9,26.83,83.5,57.7,6.02,501.08,210.9,1006373,351559,199945,31.78,7.415,10.41,3786273.0
2016-03-01,DNH_total,71.28,34.12,19.39,79.9,54.8,6.02,472.55,226.3,1006057,351651,199988,31.35,7.588,10.46,4125365.6
2016-04-01,DNH_total,80.98,29.84,19.7,78.5,52.5,3.32,441.12,213.4,1012823,356316,202031,31.09,8.0,10.56,3881919.6
2016-05-01,DNH_total,83.38,32.05,18.08,78.3,52.8,7.93,440.37,211.8,1010800,355971,201823,30.77,7.957,10.6,4163625.6
2016-06-01,DNH_total,335.75,27.9,16.97,94.6,63.8,6.26,269.62,137.9,1013443,358501,201843,31.86,8.0,10.46,3193854.6
2016-07-01,DNH_total,290.3,28.55,13.72,94.0,67.9,4.41,199.06,123.8,1014901,357776,201373,32.65,7.752,10.32,2992556.5
2016-08-01,DNH_total,289.82,30.96,11.19,95.8,68.1,6.07,275.05,124.1,1017156,360999,202061,33.39,8.0,10.25,2995762.4
2016-09-01,DNH_total,236.69,33.67,17.33,98.8,65.1,7.4,287.58,153.0,1019714,362754,202176,33.79,7.644,10.19,3148479.3
2016-10-01,DNH_total,108.24,30.59,21.94,79.3,54.0,6.42,418.61,217.4,1020015,364097,203228,33.42,7.497,10.31,3731193.4
2016-11-01,DNH_total,80.21,30.13,23.33,78.0,52.1,4.96,421.92,207.7,1021627,365252,203768,32.88,7.729,10.41,4125599.9
2016-12-01,DNH_total,76.31,34.29,23.37,80.6,53.0,3.16,420.6,215.6,1027694,367998,204328,32.48,7.785,10.4,3662933.4
2017-01-01,DNH_total,53.85,35.79,23.94,80.5,56.9,4.36,343.42,197.2,1026918,369199,204405,31.9,8.0,10.51,4107061.4
2017-02-01,DNH_total,94.34,30.46,20.06,78.3,53.9,5.53,419.08,204.2,1031628,371378,205558,31.63,7.867,10.55,3858090.6
2017-03-01,DNH_total,87.68,34.96,18.93,80.8,55.2,5.07,515.93,206.9,1032648,373336,205742,31.25,7.516,10.6,4141325.0
2017-04-01,DNH_total,105.1,32.14,17.85,78.5,55.8,7.48,377.78,213.9,1032915,371391,206031,31.0,7.437,10.66,4003817.8
2017-05-01,DNH_total,109.19,32.73,14.24,79.4,53.3,5.75,380.95,209.5,1037243,373912,205923,30.82,8.0,10.69,3896865.9
2017-06-01,DNH_total,383.92,28.07,16.69,95.0,65.9,7.66,363.74,147.1,1040450,377557,206602,32.09,7.106,10.56,3140934.9
2017-07-01,DNH_total,288.93,29.88,17.73,95.4,66.8,7.63,344.18,140.3,1043903,378804,207128,32.85,8.0,10.49,3254941.2
2017-08-01,DNH_total,289.06,29.3,9.24,91.6,65.9,6.13,240.81,140.2,1043571,381193,207559,33.54,8.0,10.36,2989690.2
2017-09-01,DNH_total,347.52,30.0,18.82,98.2,65.3,7.15,286.87,125.4,1047184,383166,208233,34.48,8.0,10.2,2798315.7
2017-10-01,DNH_total,60.25,33.85,20.07,79.4,54.8,4.5,455.22,210.6,1046889,383775,207975,33.8,8.0,10.22,3890176.9
2017-11-01,DNH_total,73.45,31.17,22.89,80.9,51.9,6.56,462.64,210.6,1050041,386627,208747,33.33,7.883,10.32,3761866.5
2017-12-01,DNH_total,76.05,34.86,22.5,81.7,58.0,5.84,498.84,226.3,1051845,386332,208861,32.83,8.0,10.41,4115402.2
2018-01-01,DNH_total,142.22,36.26,25.65,79.9,53.5,6.0,456.29,204.2,1053859,389117,210115,32.55,7.593,10.42,4340075.6
2018-02-01,DNH_total,140.67,36.98,24.22,77.5,57.9,4.43,313.22,203.3,1054983,390680,209821,32.37,7.989,10.5,4046696.2
2018-03-01,DNH_total,104.07,33.33,23.24,80.7,55.6,2.84,455.18,212.4,1058472,395110,209866,32.07,7.727,10.51,3933108.2
2018-04-01,DNH_total,91.63,31.99,22.09,82.4,55.4,5.21,446.99,203.3,1061131,393284,210363,31.75,7.766,10.56,3971001.8
2018-05-01,DNH_total,137.03,31.61,19.35,78.1,56.9,4.86,423.04,215.3,1063158,396872,211006,31.58,8.0,10.59,4086891.0
2018-06-01,DNH_total,375.69,26.62,17.41,92.5,64.6,5.13,398.64,136.5,1067499,398260,211551,32.68,7.821,10.46,3432172.5
2018-07-01,DNH_total,585.73,28.24,16.89,94.7,67.9,6.23,341.2,130.9,1072781,401713,212391,34.76,8.0,10.23,3020373.6
2018-08-01,DNH_total,409.56,31.43,16.38,94.6,62.8,5.83,221.98,133.1,1067724,399105,212050,35.8,8.0,10.07,3212726.0
2018-09-01,DNH_total,544.34,28.83,20.87,95.5,64.7,7.37,294.38,139.7,1070630,402372,212161,37.57,7.381,9.84,2616837.9
2018-10-01,DNH_total,100.01,33.31,19.45,78.8,55.0,5.02,427.94,216.3,1075189,403798,212591,36.88,8.0,9.93,3487743.5
2018-11-01,DNH_total,173.99,35.95,24.48,82.3,56.2,4.35,449.15,214.3,1076312,406879,213372,36.57,7.773,9.97,3741101.9
2018-12-01,DNH_total,120.44,38.07,25.14,83.0,54.5,6.15,401.64,196.8,1076300,407866,212869,35.9,8.0,10.04,4392625.0
2019-01-01,DNH_total,84.96,36.7,22.02,80.9,55.0,5.72,401.93,200.8,1079139,407854,214263,35.15,7.457,10.15,4211519.3
2019-02-01,DNH_total,84.66,34.98,19.27,78.2,54.5,5.75,503.02,201.5,1083862,412453,215135,34.49,8.0,10.26,4121355.4
2019-03-01,DNH_total,92.05,33.82,22.01,83.4,50.4,6.02,382.72,188.3,1090823,413129,215617,33.85,7.971,10.35,4374167.8
2019-04-01,DNH_total,87.95,34.04,22.06,80.4,56.9,7.05,381.57,211.1,1085616,413124,214400,33.25,7.851,10.43,4235456.5
2019-05-01,DNH_total,76.71,25.1,15.16,77.6,54.3,4.52,322.46,205.8,1088541,414685,215544,32.71,7.626,10.54,4215088.9
2019-06-01,DNH_total,298.48,27.71,15.81,92.7,61.2,7.07,248.01,134.2,1091551,418868,216172,33.4,7.81,10.41,3302845.5
2019-07-01,DNH_total,189.5,28.73,16.83,92.4,66.7,7.18,319.35,127.4,1095005,420030,217513,33.64,8.0,10.36,3080795.2
2019-08-01,DNH_total,208.75,29.76,16.25,98.1,67.0,10.1,324.48,132.9,1096453,419612,216403,33.94,7.662,10.31,3054449.5
2019-09-01,DNH_total,325.56,32.97,15.88,92.4,64.0,6.22,287.19,139.6,1094373,422104,216332,34.7,7.657,10.2,2956695.8
2019-10-01,DNH_total,62.09,36.56,20.6,81.8,54.0,2.02,372.07,206.5,1099427,427511,217580,34.08,8.0,10.27,3817270.9
2019-11-01,DNH_total,47.51,31.61,24.65,79.9,57.6,4.65,465.58,212.4,1104326,426566,217831,33.4,8.0,10.33,3963235.0
2019-12-01,DNH_total,87.86,36.58,24.6,78.9,52.8,6.49,422.07,196.5,1105078,429196,217562,32.75,8.0,10.47,4617493.9
2020-01-01,DNH_total,76.61,37.24,27.1,82.6,53.0,7.57,383.48,225.2,1106873,430611,218591,32.01,7.594,10.65,4963795.3
2020-02-01,DNH_total,85.37,35.12,20.35,81.9,58.0,4.91,435.54,200.4,1107748,431157,218738,31.49,8.0,10.75,4708004.5
2020-03-01,DNH_total,84.92,37.48,21.04,82.0,55.2,5.93,388.72,216.3,1112041,435245,220095,31.06,8.0,10.81,4280631.8
2020-04-01,DNH_total,79.12,33.3,21.19,83.1,57.9,5.06,439.98,204.6,1113473,435347,220053,30.66,7.501,10.86,4360129.5
2020-05-01,DNH_total,83.08,30.73,17.56,82.4,50.7,6.09,466.41,188.2,1117788,437993,221018,30.31,8.0,10.93,4389288.5
2020-06-01,DNH_total,295.46,32.54,18.18,95.3,64.1,7.59,198.51,131.5,1120915,442434,222030,31.09,7.732,10.83,3606391.7
2020-07-01,DNH_total,314.29,25.69,14.07,95.1,60.8,6.82,324.65,141.6,1119086,440957,220844,32.09,8.0,10.68,2771956.1
2020-08-01,DNH_total,172.69,22.98,15.84,92.6,66.6,8.05,309.34,128.7,1123117,442599,220933,32.48,7.841,10.59,2847276.4
2020-09-01,DNH_total,418.4,27.03,20.38,93.5,63.9,7.54,223.29,135.2,1125860,444458,222127,33.85,8.0,10.42,2827294.9
2020-10-01,DNH_total,105.23,31.75,21.48,76.2,52.9,6.62,433.55,217.1,1126178,445076,222213,33.45,8.0,10.45,3837959.4
2020-11-01,DNH_total,120.73,39.42,21.57,78.4,55.9,4.45,383.75,212.7,1130634,450039,223919,33.13,8.0,10.48,3875503.3
2020-12-01,DNH_total,125.91,37.3,23.25,79.5,56.1,8.87,438.71,195.4,1133250,451898,222935,32.83,7.633,10.51,4129264.2
2021-01-01,DNH_total,74.19,35.18,23.49,79.2,56.8,5.43,470.54,191.0,1132033,453846,222721,32.18,8.0,10.65,4694841.4
2021-02-01,DNH_total,67.46,37.96,25.38,77.0,56.7,5.96,316.34,212.4,1134918,453744,223618,31.54,7.401,10.77,4685352.6
2021-03-01,DNH_total,80.1,34.58,24.95,82.5,49.3,3.37,406.38,205.2,1137578,455392,224690,31.01,7.711,10.84,4781248.7
2021-04-01,DNH_total,81.73,32.67,18.17,78.7,58.0,3.19,445.55,202.9,1140142,455872,225023,30.61,7.528,10.86,4158190.3
2021-05-01,DNH_total,99.39,31.15,15.18,82.4,54.4,5.13,385.94,206.3,1145461,460019,224890,30.22,7.833,10.92,4587112.0
2021-06-01,DNH_total,304.05,28.52,17.56,94.2,69.5,9.25,346.83,119.7,1144984,461563,225992,31.01,7.863,10.85,3803582.0
2021-07-01,DNH_total,278.79,29.94,16.06,94.6,64.6,7.47,352.97,139.3,1146672,463157,226059,31.71,8.0,10.74,3441004.1
2021-08-01,DNH_total,243.92,29.85,18.03,94.5,63.1,7.56,220.12,126.7,1145937,465372,225032,32.22,8.0,10.63,3442147.4
2021-09-01,DNH_total,250.48,27.51,20.24,93.7,65.7,6.98,354.61,121.5,1154559,468732,227712,32.72,8.0,10.51,3417316.9
2021-10-01,DNH_total,92.44,31.39,18.81,79.3,56.0,8.2,391.96,207.3,1157443,467165,227385,32.36,7.82,10.56,3837893.1
2021-11-01,DNH_total,86.31,37.57,22.71,81.9,53.6,7.48,445.4,199.8,1158871,471790,228196,31.98,8.0,10.61,4038080.3
2021-12-01,DNH_total,62.75,32.61,19.93,80.2,57.3,5.71,275.39,208.2,1162770,475490,228603,31.31,8.0,10.74,4637230.2
2022-01-01,DNH_total,79.99,35.22,27.41,80.9,56.1,7.17,437.29,209.5,1159033,473416,228112,30.74,8.0,10.81,4788266.5
2022-02-01,DNH_total,63.97,36.12,23.82,78.8,55.0,5.47,349.69,202.1,1163182,477634,229109,30.2,8.0,10.91,4503060.3
2022-03-01,DNH_total,57.26,35.42,19.64,78.9,53.8,5.68,437.31,221.6,1168422,475442,229092,29.53,7.563,11.03,5145259.2
2022-04-01,DNH_total,58.11,36.0,20.26,80.1,56.1,3.48,291.82,217.3,1174948,482718,230000,28.88,7.984,11.17,5348631.4
2022-05-01,DNH_total,65.33,29.37,14.13,77.5,49.5,5.36,404.89,206.0,1175841,484878,231558,28.54,7.849,11.22,4620021.2
2022-06-01,DNH_total,488.59,29.77,17.65,95.6,67.0,5.76,379.55,123.8,1176010,486577,231204,30.48,7.84,10.91,3209449.7
2022-07-01,DNH_total,236.07,31.03,15.48,96.7,65.5,6.85,351.34,134.4,1179423,491638,232111,31.04,8.0,10.84,3387505.1
2022-08-01,DNH_total,163.28,29.33,13.4,93.6,63.8,6.26,231.47,131.8,1176476,488716,231565,31.19,8.0,10.78,3565726.2
2022-09-01,DNH_total,238.92,29.71,17.22,95.3,63.4,6.25,250.53,123.9,1185482,492155,233303,31.7,7.976,10.71,3408548.9
2022-10-01,DNH_total,55.68,28.83,20.05,79.6,55.7,4.11,325.82,208.2,1187272,498336,232718,31.19,8.0,10.82,4144652.4
2022-11-01,DNH_total,75.33,34.69,24.38,79.7,56.1,3.57,409.21,201.3,1186309,494652,232605,30.71,7.822,10.92,4580925.0
2022-12-01,DNH_total,45.32,34.55,20.69,77.2,54.7,6.68,440.29,201.0,1187842,492619,232886,30.01,8.0,11.03,4940229.9
2023-01-01,DNH_total,138.89,33.86,23.89,82.3,57.5,8.04,397.14,194.1,1193292,499270,235019,29.69,8.0,11.1,5487536.0
2023-02-01,DNH_total,142.4,34.7,24.04,79.5,54.9,6.8,374.29,209.1,1194900,503622,234505,29.52,7.73,11.17,4980403.5
2023-03-01,DNH_total,157.32,32.48,23.15,80.1,56.5,7.7,428.69,220.1,1199308,504952,235846,29.48,8.0,11.15,4723480.8
2023-04-01,DNH_total,90.93,34.16,17.56,78.3,55.3,7.63,434.36,208.2,1199929,506544,235450,29.2,7.861,11.17,4600311.0
2023-05-01,DNH_total,99.73,29.59,15.06,81.0,50.2,6.08,323.41,214.8,1201573,508102,236607,28.87,8.0,11.21,5038929.3
2023-06-01,DNH_total,523.61,27.15,15.52,97.5,66.1,4.85,281.32,131.6,1204092,510193,236596,30.77,8.0,10.97,3683790.8
2023-07-01,DNH_total,419.63,28.26,20.77,92.8,64.8,6.16,343.79,153.4,1209978,513069,235980,32.13,7.592,10.74,3152878.3
2023-08-01,DNH_total,496.23,27.14,16.36,91.8,65.3,4.78,281.72,139.9,1210962,511052,237955,33.8,8.0,10.5,2894830.8
2023-09-01,DNH_total,577.39,29.44,15.0,92.9,63.9,8.16,263.69,147.7,1212614,517738,237106,35.81,7.898,10.22,2705861.8
2023-10-01,DNH_total,120.12,33.75,18.93,76.9,52.2,6.62,338.6,203.0,1210928,516886,237143,35.37,7.888,10.25,3577708.8
2023-11-01,DNH_total,146.98,34.41,19.74,79.0,55.3,8.85,431.47,185.1,1216006,519793,239425,34.99,7.732,10.31,4102811.6
2023-12-01,DNH_total,122.13,35.14,22.3,75.4,56.3,6.19,353.37,207.2,1221745,524779,239588,34.43,7.571,10.36,4376869.9
2024-01-01,DNH_total,63.81,33.32,26.09,77.2,53.7,6.15,487.13,227.6,1225838,525606,238954,33.61,7.638,10.49,4478429.1
2024-02-01,DNH_total,59.6,35.54,23.28,79.9,54.6,7.37,384.38,193.9,1224277,527538,239123,32.95,7.715,10.58,4101379.9
2024-03-01,DNH_total,56.52,34.22,21.22,83.0,56.0,4.84,458.62,195.2,1226829,527279,240762,32.28,7.853,10.67,4211301.9
2024-04-01,DNH_total,69.57,33.79,18.45,78.8,53.7,6.94,485.37,202.7,1231634,532510,241234,31.63,8.0,10.73,4694510.1
2024-05-01,DNH_total,117.65,30.14,15.65,78.4,53.7,5.78,350.92,197.8,1232232,533072,240433,31.34,8.0,10.78,4362263.8
2024-06-01,DNH_total,239.61,34.16,15.63,95.1,62.4,7.65,340.64,152.5,1229462,532823,240572,31.77,8.0,10.74,3776389.5
2024-07-01,DNH_total,219.52,30.92,17.62,95.2,60.1,9.02,321.76,125.6,1240398,540892,243269,32.11,7.358,10.73,3664888.0
2024-08-01,DNH_total,276.17,30.57,13.22,95.0,65.5,6.71,210.63,132.4,1237479,537550,242123,32.74,7.739,10.6,3389732.1
2024-09-01,DNH_total,258.21,29.11,17.92,95.9,64.4,4.32,295.71,131.3,1248800,546498,244603,33.33,8.0,10.55,3238880.9
2024-10-01,DNH_total,80.56,33.92,16.09,76.1,55.5,5.31,427.3,208.3,1244102,541633,243475,32.68,7.785,10.64,4567602.5
2024-11-01,DNH_total,90.63,33.48,17.78,81.5,57.4,7.01,361.69,214.8,1244886,544062,243141,32.09,7.662,10.77,4961337.6
2024-12-01,DNH_total,98.64,35.01,24.96,80.1,52.8,6.13,452.83,212.5,1254185,548979,243772,31.58,7.435,10.87,4717135.0
